datetime,heartrate,duration
2022-04-11 11:54:12,101,45
2022-04-11 12:03:34,100,20
2022-04-11 12:12:57,134,21
2022-04-11 12:22:20,98,21
2022-04-11 12:31:43,107,21
2022-04-11 12:41:07,108,22
2022-04-11 12:50:30,105,21
2022-04-11 12:59:53,104,21
2022-04-11 13:10:16,106,21
2022-04-11 13:19:43,108,25
2022-04-11 13:29:15,139,30
2022-04-11 13:38:39,101,22
2022-04-11 13:48:11,121,30
2022-04-12 08:03:46,108,26
2022-04-12 08:23:45,111,52
2022-04-10 15:00:40,86,22
2022-04-10 15:10:24,122,42
2022-04-10 15:29:54,104,22
2022-04-10 15:39:37,103,41
2022-04-10 15:49:25,102,46
2022-04-10 16:29:05,97,20
2022-04-11 06:20:37,84,35
2022-04-11 06:30:01,90,22
2022-04-11 06:35:17,84,41
2022-04-11 06:44:40,79,21
2022-04-11 06:54:11,73,29
2022-04-11 07:03:36,76,23
2022-04-11 07:12:59,75,21
2022-04-11 07:22:24,82,23
2022-04-11 07:31:47,66,21
2022-04-11 07:41:18,68,29
2022-04-11 07:51:04,75,44
2022-04-11 08:00:52,76,46
2022-04-11 08:10:20,82,26
2022-04-11 08:19:44,77,22
2022-04-11 08:29:10,76,24
2022-04-11 08:39:00,80,48
2022-04-11 08:48:55,83,53
2022-04-11 08:58:19,79,22
2022-04-11 09:18:26,94,60
2022-04-11 09:38:11,85,38
2022-04-11 09:48:15,78,62
2022-04-11 10:07:42,82,19
2022-04-11 10:17:05,83,21
2022-04-11 10:26:28,89,21
2022-04-11 10:36:05,79,35
2022-04-11 10:45:35,82,28
2022-04-11 10:54:58,86,21
2022-04-11 11:14:29,93,23
2022-04-11 11:24:13,93,42
2022-04-08 12:39:37,118,21
2022-04-08 12:49:05,108,26
2022-04-08 12:58:33,103,26
2022-04-08 13:07:59,98,24
2022-04-08 13:17:34,108,33
2022-04-08 13:47:39,114,53
2022-04-08 13:57:27,115,46
2022-04-08 14:07:01,124,32
2022-04-08 14:14:43,121,59
2022-04-08 14:34:11,110,21
2022-04-07 09:47:20,170,31
2022-04-07 10:17:22,114,48
2022-04-07 10:27:06,138,42
2022-04-07 10:36:40,117,32
2022-04-07 10:46:13,105,31
2022-04-07 10:56:00,111,45
2022-04-07 11:05:51,107,49
2022-04-07 11:15:49,110,56
2022-04-07 11:45:30,99,28
2022-04-07 11:55:29,108,57
2022-04-07 12:04:56,106,24
2022-04-07 12:14:22,103,24
2022-04-07 12:23:59,129,35
2022-04-07 12:43:33,110,27
2022-04-07 12:53:07,106,32
2022-04-07 13:02:33,108,24
2022-04-07 13:12:13,107,38
2022-04-07 13:21:40,107,25
2022-04-07 13:31:17,107,35
2022-04-07 13:40:55,88,36
2022-04-07 13:50:36,91,39
2022-04-07 14:00:01,99,23
2022-04-07 14:09:54,107,51
2022-04-07 14:19:48,102,52
2022-04-07 14:29:25,112,35
2022-04-07 14:38:54,106,27
2022-04-07 14:48:53,121,57
2022-04-07 14:58:24,105,29
2022-04-07 15:07:51,105,25
2022-04-07 15:17:21,105,28
2022-04-07 15:26:44,107,21
2022-04-07 15:36:08,115,22
2022-04-07 15:45:31,121,21
2022-04-07 15:54:55,125,22
2022-04-07 16:04:21,128,24
2022-04-07 16:13:45,125,22
2022-04-07 16:23:07,128,20
2022-04-07 16:32:30,122,21
2022-04-07 16:42:19,151,47
2022-04-07 16:51:48,150,27
