datetime,heartrate,duration
2022-03-17 00:44:01,173,4
2022-03-17 00:44:04,171,1
2022-03-17 00:44:08,170,4
2022-03-17 00:44:10,169,4
2022-03-17 00:44:17,169,5
2022-03-17 00:44:18,168,1
2022-03-17 00:44:20,169,2
2022-03-17 00:44:25,169,5
2022-03-17 00:44:27,167,8
2022-03-17 00:44:34,163,2
2022-03-17 00:44:39,161,4
2022-03-17 00:44:41,160,4
2022-03-17 00:44:44,159,3
2022-03-17 00:44:51,156,5
2022-03-17 00:44:52,155,2
2022-03-17 00:45:00,154,7
2022-03-17 00:45:02,154,6
2022-03-17 00:45:09,155,3
2022-03-17 00:45:11,154,2
2022-03-17 00:45:15,153,4
2022-03-17 00:45:20,153,5
2022-03-17 00:45:22,155,10
2022-03-17 00:45:31,155,3
2022-03-17 00:45:37,152,8
2022-03-17 00:45:42,153,1
2022-03-17 00:45:44,152,4
2022-03-17 00:45:53,152,7
2022-03-17 00:45:55,151,2
2022-03-17 00:45:58,151,3
2022-03-17 00:46:00,147,8
2022-03-17 00:46:07,141,2
2022-03-17 00:46:12,135,8
2022-03-17 00:46:18,134,2
2022-03-17 00:46:22,132,12
2022-03-17 00:46:35,133,5
2022-03-17 00:46:37,134,16
2022-03-17 00:46:55,131,4
2022-03-17 00:47:00,131,5
2022-03-17 00:47:01,131,2
2022-03-17 00:47:04,132,2
2022-03-17 00:47:08,131,4
2022-03-17 00:47:10,130,2
2022-03-17 00:47:13,130,3
2022-03-17 00:47:14,131,1
2022-03-17 00:47:16,130,2
2022-03-17 00:47:21,130,5
2022-03-17 00:47:23,129,6
2022-03-17 00:47:31,129,4
2022-03-17 00:47:33,130,2
2022-03-17 00:47:36,130,3
2022-03-17 00:47:37,131,1
2022-03-17 00:47:39,130,2
2022-03-17 00:47:40,131,1
2022-03-17 00:47:42,130,2
2022-03-17 00:47:45,131,3
2022-03-17 00:47:46,130,1
2022-03-17 00:47:48,131,2
2022-03-17 00:47:52,131,4
2022-03-17 00:47:55,133,3
