start,duration,value
2022-04-11T20:54:12+02:00,[45],[101]
2022-04-11T21:03:34+02:00,[20],[100]
2022-04-11T21:12:57+02:00,[21],[134]
2022-04-11T21:22:20+02:00,[21],[98]
2022-04-11T21:31:43+02:00,[21],[107]
2022-04-11T21:41:07+02:00,[22],[108]
2022-04-11T21:50:30+02:00,[21],[105]
2022-04-11T21:59:53+02:00,[21],[104]
2022-04-11T22:10:16+02:00,[21],[106]
2022-04-11T22:19:43+02:00,[25],[108]
2022-04-11T22:29:15+02:00,[30],[139]
2022-04-11T22:38:39+02:00,[22],[101]
2022-04-11T22:48:11+02:00,[30],[121]
2022-04-12T17:03:46+02:00,[26],[108]
2022-04-12T17:23:45+02:00,[52],[111]
2022-04-11T00:00:40+02:00,[22],[86]
2022-04-11T00:10:24+02:00,[42],[122]
2022-04-11T00:29:54+02:00,[22],[104]
2022-04-11T00:39:37+02:00,[41],[103]
2022-04-11T00:49:25+02:00,[46],[102]
2022-04-11T01:29:05+02:00,[20],[97]
2022-04-11T15:20:37+02:00,[35],[84]
2022-04-11T15:30:01+02:00,[22],[90]
2022-04-11T15:35:17+02:00,[41],[84]
2022-04-11T15:44:40+02:00,[21],[79]
2022-04-11T15:54:11+02:00,[29],[73]
2022-04-11T16:03:36+02:00,[23],[76]
2022-04-11T16:12:59+02:00,[21],[75]
2022-04-11T16:22:24+02:00,[23],[82]
2022-04-11T16:31:47+02:00,[21],[66]
2022-04-11T16:41:18+02:00,[29],[68]
2022-04-11T16:51:04+02:00,[44],[75]
2022-04-11T17:00:52+02:00,[46],[76]
2022-04-11T17:10:20+02:00,[26],[82]
2022-04-11T17:19:44+02:00,[22],[77]
2022-04-11T17:29:10+02:00,[24],[76]
2022-04-11T17:39:00+02:00,[48],[80]
2022-04-11T17:48:55+02:00,[53],[83]
2022-04-11T17:58:19+02:00,[22],[79]
2022-04-11T18:18:26+02:00,[60],[94]
2022-04-11T18:38:11+02:00,[38],[85]
2022-04-11T18:48:15+02:00,[62],[78]
2022-04-11T19:07:42+02:00,[19],[82]
2022-04-11T19:17:05+02:00,[21],[83]
2022-04-11T19:26:28+02:00,[21],[89]
2022-04-11T19:36:05+02:00,[35],[79]
2022-04-11T19:45:35+02:00,[28],[82]
